Company,Amount ($M),Date,HQ,Sector,Series,Source
https://www.dvarakgfs.com/,$10.00,24/05/2024,Chennai,Fintech - Lending,Debt,https://entrackr.com/2024/05/dvara-kgfs-bags-10-mn-in-debt-round/
https://varthana.com/,$3.00,20/05/2024,Bengaluru,Fintech - Education Lending,Debt,https://entrackr.com/2024/05/varthana-raises-3-mn-from-triodos-investment-management/
https://www.foxy.in/,$2.60,24/05/2024,New Delhi,E-Commerce,,https://entrackr.com/2024/05/exclusive-lightspeed-backs-ekaneks-foxy-almost-after-four-years/
https://freshleafteas.in/,$0.12,23/05/2024,Ludhiana,E-Commerce - D2C Tea Brand,Seed,https://entrackr.com/2024/05/premium-tea-brand-freshleaf-raises-seed-round/
https://www.noponano.com/,$3.00,22/05/2024,Bengaluru,Nanotechnology,Pre-Series A,https://entrackr.com/2024/05/nopo-nanotechnologies-raises-3-mn-in-pre-series-a-round/
https://superkalam.com/,$2.00,22/05/2024,Bengaluru,Edtech,Seed,https://entrackr.com/2024/05/superkalam-raises-2-mn-in-seed-round-led-by-y-combinator-others/
https://portl.co/,$3.00,23/05/2024,Hyderabad,Healthtech,,https://entrackr.com/2024/05/portl-bags-3-mn-from-bharat-innovation-fund/
https://mynvax.com/,$2.60,24/05/2024,Bengaluru,Biotech,Extended Series A,https://entrackr.com/2024/05/exclusive-accel-backed-biotech-startup-mynvax-raises-fresh-funds/
https://konprozgpt.com/,$0.70,20/05/2024,Delhi,AI,Seed,https://entrackr.com/2024/05/gen-ai-startup-konproz-raises-700k/
https://vaaree.com/,$2.50,24/05/2024,Bengaluru,Home Decor,Pre-Series A,https://entrackr.com/2024/05/exclusive-home-decor-startup-vaaree-kicks-off-new-round/
ProsParity,$2.00,23/05/2024,Mumbai,Fintech - EV Financing,Pre-Seed,https://entrackr.com/2024/05/prosparity-raises-2-mn-pre-seed-round-from-beenext-others/
https://humorstech.com/,$0.24,21/05/2024,Bengaluru,Healthcare,Pre-Seed,https://entrackr.com/2024/05/venture-catalysts-leads-pre-seed-round-in-humors-tech/
https://navi.com/,$18.00,22/05/2024,Bengaluru,Fintech,,https://entrackr.com/2024/05/exclusive-sachin-bansals-navi-raises-rs-150-cr-via-ncds/
