Company,Amount ($M),Date,HQ,Sector,Series,Source
https://finagg.in/,$11.00,18/01/2024,Noida,Fintech,Series A,https://entrackr.com/2024/01/finagg-raises-11-mn-in-series-a-led-by-blue-orchard-and-tata-capital/
https://www.indrawater.com/,$4.00,18/01/2024,Mumbai,Cleantech,Series A,https://entrackr.com/2024/01/cleantech-startup-indra-raises-4-mn-in-series-a-round/
https://adya.ai/,$1.26,16/01/2024,Hyderabad,SaaS - Digital Commerce,Pre-Series A,https://entrackr.com/2024/01/adya-ai-raises-rs-10-5-cr-in-pre-series-a-round/
https://groyyo.com/,$5.40,19/01/2024,Gurugram,Manufacturing,Debt,https://entrackr.com/2024/01/groyyo-raises-5-4-mn-in-debt-round-from-lighthouse-and-trifecta/
https://zingavita.com/,$1.20,16/01/2024,Chandigarh,E-Commerce - Health and Wellness Products,Pre-Series A,https://entrackr.com/2024/01/anicut-capital-leads-rs-10-cr-round-in-zingavita/
https://alt-mobility.com/,$6.00,19/01/2024,Delhi,EV - Logistics,Series A,https://entrackr.com/2024/01/alt-mobility-raises-6-mn-led-by-shell-ventures-and-others/
https://aquaexchange.com/,$6.00,19/01/2024,Vijaywada,IoT - Aquaculture,Series A,https://entrackr.com/2024/01/aquaexchange-raises-6-mn-in-series-a-led-by-ocean-14-capital/
https://www.stockgro.club/,$24.65,17/01/2024,Bengaluru,Edtech - Fintech,Debt,https://entrackr.com/2024/01/exclusive-stockgro-raises-rs-205-cr-debt-from-trifecta-and-hindustan-media/
https://www.getonecard.app/,$14.43,15/01/2024,Pune,Fintech - Credit Card,Debt,https://inc42.com/buzz/onecards-parent-secures-14-4-mn-from-alteria-capital/
https://www.wowmomo.com/,$42.00,16/01/2024,Kolkata,Quick Service Restaurant,Series D,https://entrackr.com/2024/01/wow-momo-raises-42-mn-led-by-khazanah/
https://www.kisankonnect.in/,$3.75,16/01/2024,Ahmednagar,E-Commerce - Agritech - Fruits and Vegetables,Pre-Series A,https://entrackr.com/2024/01/agritech-startup-kisankonnect-raises-rs-31-cr-in-pre-series-a/
https://bonvaero.com/,$0.72,18/01/2024,Bhubaneswar,Drone,,https://entrackr.com/2024/01/drone-startup-bonv-aero-raises-rs-6-cr-led-by-ipv/
https://bharatsure.com/,$1.00,18/01/2024,Mumbai,Fintech - Insurance,,https://entrackr.com/2024/01/insurtech-startup-bharatsure-raises-1-mn-led-by-capital-a/
https://upswing.one/,$4.20,17/01/2024,Bengaluru,Fintech,Pre-Series A,https://entrackr.com/2024/01/upswing-raises-4-2-mn-in-pre-series-a-round/
https://medial.app/,$0.12,17/01/2024,Pre-Seed,Social Media,Pre-Seed,https://entrackr.com/2024/01/medial-raises-120k-pre-seed-round/
https://inprime.in/,$3.00,16/01/2024,Bengaluru,Fintech - Lending,Series A,https://entrackr.com/2024/01/inprime-raises-3-mn-led-by-matrix-partners-india/
https://www.jeh.aero/,$2.75,18/01/2024,Hyderabad,Manufacturing - Spacetech,Seed,https://economictimes.indiatimes.com/tech/funding/jeh-aerospace-raises-2-75-million-in-funding-round-led-by-general-catalyst/articleshow/106937736.cms
https://www.buyeazzy.com/,$4.25,18/01/2024,Delhi,E-Commerce,Series A,https://entrackr.com/2024/01/buyeazzy-raises-4-25-mn-in-series-a-round/
