Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.inmobi.com/,$100.00,Debt,Adtech,Bengaluru,11/09/2024,https://entrackr.com/2024/09/inmobi-secures-100-mn-debt-for-ai-expansion/
https://flexiloans.com/,$35.00,Series C,Fintech - Lending,Mumbai,11/09/2024,https://entrackr.com/2024/09/flexiloans-raises-35-mn-from-accion-fundamentum-and-others/
https://centricity.co.in/,$20.00,Seed,Wealthtech,Gurugram,12/09/2024,https://entrackr.com/2024/09/wealthtech-startup-centricity-raises-20-mn-in-seed-round/
https://www.appsforbharat.com/en,$18.00,Series B,Devotional,Bengaluru,10/09/2024,https://entrackr.com/2024/09/sri-mandir-parent-appsforbharat-raises-18-mn-in-series-b/
https://nestasia.in/,$8.35,,Home Decor,Kolkata,10/09/2024,https://entrackr.com/2024/09/home-decor-and-lifestyle-brand-nestasia-raises-8-35-mn/
https://www.cleanelectric.in/,$6.00,,EV Battery,Pune,10/09/2024,https://entrackr.com/2024/09/ev-startup-clean-electric-raises-6-mn/
https://moneyview.in/,$4.65,,Fintech,Bengaluru,12/09/2024,https://entrackr.com/2024/09/exclusive-moneyview-becomes-unicorn-with-new-funding/
https://www.dharaksha.com/,$2.95,Seed,Biotech,Delhi,12/09/2024,https://entrackr.com/2024/09/avaana-capital-leads-seed-round-in-dharaksha-ecosolutions/
https://www.futwork.com/,$2.50,Series A,Sales Outreach Platform,Mumbai,12/09/2024,https://entrackr.com/2024/09/exclusive-futwork-kicks-off-series-a-led-by-michael-susan-dell-foundation/
https://www.newmi.in/en/,$1.50,Seed,Health and Wellness,Gurugram,13/09/2024,https://entrackr.com/2024/09/women-health-platform-newmi-care-raises-1-5-mn-in-seed-round/
http://www.dealbasketmitra.co.in/,$1.31,Pre-Series A,D2C FMCG Brand,Gurugram,11/09/2024,https://entrackr.com/2024/09/mitra-bags-rs-11-cr-in-pre-series-a-round-led-by-bestvantage-investments/
https://exposome.in/,$1.20,Pre-Series A,Cleantech,Mumbai,10/09/2024,https://entrackr.com/2024/09/colossa-ventures-invests-in-cleantech-startup-exposome/
https://gameeon.in/,$1.00,,Game Development,Mumbai,12/09/2024,https://entrackr.com/2024/09/game-development-studio-gameeon-raises-1-mn/
https://www.wundrsight.com/en/,$0.40,Seed,Healthtech,Bengaluru,12/09/2024,https://entrackr.com/2024/09/wundrsight-raises-400k-in-seed-round-led-by-ipv/
https://www.transcell.in/,,,Biotech,Hyderabad,09/09/2024,https://entrackr.com/2024/09/transcell-biologics-secures-funding-from-ian-quantiphi/
