Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.purplle.com/,$120.00,,E-Commerce - Beauty Retailer,Mumbai,01/07/2024,https://entrackr.com/2024/07/purplle-raises-120-mn-led-by-adia-to-buyback-esops-worth-6-mn/
https://www.oyorooms.com/,$50.00,,Hospitality,Gurugram,03/07/2024,https://entrackr.com/2024/07/oyo-raises-50-mn-from-incred-at-2-38-bn-valuation/
https://www.matter.in/,$35.00,Series B,EV,Ahmedabad,03/07/2024,https://entrackr.com/2024/07/e-bike-maker-matter-raises-35-mn-in-ongoing-series-b-round/
https://www.arya.ag/,$29.00,Series D,Agritech,Noida,04/07/2024,https://entrackr.com/2024/07/agritech-startup-arya-ag-raises-29-mn-at-valuation-of-325-mn/
https://www.awign.com/,$24.50,Series C,Gig Work,Bengaluru,05/07/2024,https://entrackr.com/2024/07/exclusive-awign-raises-24-5-mn-mynavi-now-controls-73-stake/https://entrackr.com/2024/07/exclusive-awign-raises-24-5-mn-mynavi-now-controls-73-stake/
https://www.wearcomet.com/,$5.00,Series A,E-Commerce - D2C Sneaker,Bengaluru,01/07/2024,https://entrackr.com/2024/07/exclusive-comet-raises-5-mn-in-series-a-round/
https://dice.tech/,$5.00,Series A,Fintech - Expense Management,Pune,03/07/2024,https://inc42.com/buzz/dice-bags-5-mn-to-help-enterprises-manage-expenses-with-ai-solutions/
https://www.watchyourhealth.com/,$5.00,Series A,Healthtech,Thane,02/07/2024,https://entrackr.com/2024/07/watch-your-health-raises-5-mn-in-series-a-round/
https://www.pepul.com/,$4.00,Pre-Series A,Social Media,Chennai,01/07/2024,https://yourstory.com/2024/06/social-platform-pepul-secures-4-m-pre-seriesa-funding
https://home.wify.co.in/,$3.00,Pre-Series A,Home Furnishing,Mumbai,01/07/2024,https://entrackr.com/2024/07/wify-raises-3-mn-in-pre-series-a-round/
https://www.bikebazaar.com/,$3.00,Debt,EV Financing,Pune,02/07/2024,https://entrackr.com/2024/07/exclusive-bike-bazaar-raises-debt-from-mas-financial/
https://fabriclore.com/,$1.60,Seed,B2B Fabric Sourcing,Jaipur,02/07/2024,https://entrackr.com/2024/07/fabric-supply-chain-startup-fabriclore-raises-1-6-mn/
https://www.cautio.in/en,$0.78,Pre-Seed,Video Telematics,Bengaluru,01/07/2024,https://entrackr.com/2024/07/video-telematics-startup-cautio-raises-rs-6-5-cr-in-pre-seed-round/
https://www.theelefant.com/,$0.75,Seed,Online Toy Library,Mumbai,03/07/2024,https://entrackr.com/2024/07/elefant-raises-750k-in-seed-round/
https://amocare.com/,$0.40,Pre-Seed,E-Commerce - D2C Healthcare Brand,Delhi,02/07/2024,https://entrackr.com/2024/07/wellness-brand-amocare-raises-400k-in-pre-seed-round/
https://www.flutrr.com/,$0.24,,Online Dating,Kolkata,02/07/2024,https://inc42.com/buzz/huma-qureshi-backs-vernacular-dating-app-flutrr/
https://hoophello.com/,,,E-Commerce - D2C Health and Wellness Brand,Gurugram,03/07/2024,https://entrackr.com/2024/07/pv-sindhu-invests-in-wellness-brand-hoop/
https://supplysix.com/,,,E-Commerce - D2C Nutrition Brand,Bengaluru,02/07/2024,https://entrackr.com/2024/07/supply6-ropes-in-ab-de-villiers-as-investor-brand-ambassador/
,,,,,,
