Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.neysa.ai/,$20.00,Seed,AI - SaaS,Mumbai,10/04/2024,https://entrackr.com/2024/04/gen-ai-startup-neysa-raises-20-mn-from-matrix-nexus-and-nttvc/
https://recykal.com/,$13.00,Series B,Waste Management,Kondapur,10/04/2024,https://entrackr.com/2024/04/exclusive-morgan-stanley-backed-recykal-raises-nearly-10-mn-in-ongoing-round/
https://axio.co.in/,$6.00,Debt,Fintech - Lending,Bengaluru,08/04/2024,https://inc42.com/buzz/exclusive-digital-lender-axio-raises-6-mn-debt-from-alteria-capital/
https://entrackr.com/2024/04/exclusive-5c-network-raises-3-mn-in-a-new-round/,$5.00,Series A,Insurance,Gurugram,12/04/2024,https://entrackr.com/2024/04/exclusive-claimbuddy-bags-new-investment-from-bharat-innovation-fund/
https://www.butterflylearnings.com/,$3.82,Series A,Healthcare,Thane,11/04/2024,/04/butterfly-learnings-raises-rs-32-cr-in-series-a-round/
https://www.5cnetwork.com/,$3.00,,Healthcare,Bengaluru,12/04/2024,https://entrackr.com/2024/04/exclusive-5c-network-raises-3-mn-in-a-new-round/
https://www.eyemyeye.com/,$2.50,Pre-Series A,E-Commerce - Eyewear,Gurugram,11/04/2024,https://entrackr.com/2024/04/exclusive-eyemyeye-raises-2-5-mn-in-a-new-tranche/
https://www.platinumrx.in/,$0.80,Seed,Healthcare E-Commerce - Medicine,Bengaluru,08/04/2024,https://entrackr.com/2024/04/platinumrx-raises-800k-funding-led-by-indiaquotient/
https://paytring.com/,,Pre-Seed,Fintech,Gurugram,09/04/2024,https://entrackr.com/2024/04/fintech-startup-paytring-closes-pre-seed-round-from-unlimit/
https://www.autonxt.in/,,Pre-Series A,EV - Tractors,Thane,09/04/2024,https://entrackr.com/2024/04/autonxt-automation-raises-pre-series-a-round-led-by-saama-capital/
,,,,,,
