Company,Amount ($M),Date,HQ,Sector,Series,Source
https://www.opigo.in/,$0.17,23/01/2024,Mumbai,Fintech - Stock Trading,Pre-Series A,https://entrackr.com/2024/01/stock-trading-app-opigo-secures-pre-seed-round/
https://www.namfin.in/,$15.00,22/01/2024,Jaipur,Fintech - NBFC Lending,Series B,https://entrackr.com/2024/01/namdev-finvest-secures-15-mn-in-series-b-round/
https://newme.asia/,$5.40,25/01/2024,Bengaluru,E-Commerce - Fashion,Seed,https://entrackr.com/2024/01/fast-fashion-brand-newme-raises-5-mn-in-seed-round/
https://getstan.app/,$2.70,22/01/2024,Bengaluru,Gaming,Pre-Series A,https://entrackr.com/2024/01/gaming-startup-stan-raises-2-7-mn-in-pre-series-a-round/
https://olakrutrim.com/,$50.00,27/01/2024,Bengaluru,AI,Series A,https://economictimes.indiatimes.com/tech/funding/ola-founder-bhavish-aggarwals-krutrim-ai-turns-unicorn-with-50-million-funding-from-matrix-others/articleshow/107166669.cms
https://www.fixerra.in/,$1.70,24/01/2024,Mumbai,Fintech - Investment Platform,Seed,https://entrackr.com/2024/01/fixerra-raises-rs-14-cr-in-seed-round/
https://earthful.me/,$0.40,26/01/2024,Hyderabad,E-Commerce - D2C Nutritional Supplements Brand,Pre-Seed,https://economictimes.indiatimes.com/tech/funding/nutrition-brand-earthful-raises-rs-3-3-crore-in-funding-from-green-ivy-ventures-others/articleshow/107165546.cms
Flaer Bags,$2.50,24/01/2024,,Interior Design,Pre-Seed,https://inc42.com/buzz/flaer-bags-2-5-mn-to-supply-home-interior-materials/
https://www.ecofy.co.in/,$10.80,24/01/2024,Mumbai,Fintech - NBFC Lending,,https://economictimes.indiatimes.com/tech/funding/climate-focussed-nbfc-ecofy-secures-rs-90-crore-in-equity-funding-from-dutch-bank-fmo/articleshow/107113031.cms
https://infra.market/,$12.00,25/01/2024,Thane,B2B E-Commerce - Construction Materials,Debt,https://inc42.com/buzz/exclusive-infra-market-raises-12-mn-debt-from-sk-finance/
https://www.vivifin.com/,$75.00,24/01/2024,Hyderabad,Fintech - NBFC Lending,Series B,https://entrackr.com/2024/01/fintech-nbfc-vivifi-raises-75-mn-in-series-b-round/
