Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.vivifin.com/,$75.00,Series B,Fintech - NBFC Lending,Hyderabad,24/01/2024,https://entrackr.com/2024/01/fintech-nbfc-vivifi-raises-75-mn-in-series-b-round/
https://olakrutrim.com/,$50.00,Series A,AI,Bengaluru,27/01/2024,https://economictimes.indiatimes.com/tech/funding/ola-founder-bhavish-aggarwals-krutrim-ai-turns-unicorn-with-50-million-funding-from-matrix-others/articleshow/107166669.cms
https://www.namfin.in/,$15.00,Series B,Fintech - NBFC Lending,Jaipur,22/01/2024,https://entrackr.com/2024/01/namdev-finvest-secures-15-mn-in-series-b-round/
https://infra.market/,$12.00,Debt,B2B E-Commerce - Construction Materials,Thane,25/01/2024,https://inc42.com/buzz/exclusive-infra-market-raises-12-mn-debt-from-sk-finance/
https://www.ecofy.co.in/,$10.80,,Fintech - NBFC Lending,Mumbai,24/01/2024,https://economictimes.indiatimes.com/tech/funding/climate-focussed-nbfc-ecofy-secures-rs-90-crore-in-equity-funding-from-dutch-bank-fmo/articleshow/107113031.cms
https://newme.asia/,$5.40,Seed,E-Commerce - Fashion,Bengaluru,25/01/2024,https://entrackr.com/2024/01/fast-fashion-brand-newme-raises-5-mn-in-seed-round/
https://getstan.app/,$2.70,Pre-Series A,Gaming,Bengaluru,22/01/2024,https://entrackr.com/2024/01/gaming-startup-stan-raises-2-7-mn-in-pre-series-a-round/
Flaer Bags,$2.50,Pre-Seed,Interior Design,,24/01/2024,https://inc42.com/buzz/flaer-bags-2-5-mn-to-supply-home-interior-materials/
https://www.fixerra.in/,$1.70,Seed,Fintech - Investment Platform,Mumbai,24/01/2024,https://entrackr.com/2024/01/fixerra-raises-rs-14-cr-in-seed-round/
https://earthful.me/,$0.40,Pre-Seed,E-Commerce - D2C Nutritional Supplements Brand,Hyderabad,26/01/2024,https://economictimes.indiatimes.com/tech/funding/nutrition-brand-earthful-raises-rs-3-3-crore-in-funding-from-green-ivy-ventures-others/articleshow/107165546.cms
https://www.opigo.in/,$0.17,Pre-Series A,Fintech - Stock Trading,Mumbai,23/01/2024,https://entrackr.com/2024/01/stock-trading-app-opigo-secures-pre-seed-round/
