Company,Amount ($M),Series,Sector,HQ,Date,Source
https://www.smartworksoffice.com/,$20.00,,Managed Office Space Provider,Gurugram,09/07/2025,https://entrackr.com/news/smartworks-raises-20-mn-from-anchor-investors-9479787
http://varthana.com/,$18.50,Debt,Fintech - NBFC,Bengaluru,09/07/2025,https://entrackr.com/snippets/nbfc-varthana-secures-rs-159-cr-in-debt-funding-9477464
https://khetika.com/,$18.00,,Healthy Food Brand,Mumbai,07/07/2025,https://entrackr.com/snippets/khetika-raises-18-mn-led-by-narotam-sekhsaria-family-office-and-anicut-capital-9469606
https://inprime.in/,$5.84,Series A,Fintech - NBFC,Bengaluru,07/07/2025,https://entrackr.com/snippets/inprime-finserv-raises-rs-50-cr-in-series-a1-round-led-by-pravega-ventures-9470068
https://getbelong.com/,$5.00,Seed,Fintech,Bengaluru,09/07/2025,https://entrackr.com/snippets/nri-focused-fintech-startup-belong-raises-5-mn-led-by-elevation-capital-9476695
https://www.chaibisket.com/,$5.00,Seed,OTT Platform,Hyderabad,09/07/2025,https://entrackr.com/snippets/chai-bisket-raises-5-mn-led-by-infoedge-ventures-and-general-catalyst-to-launch-chai-shots-9477331
https://vaaree.com/?utm_source=Linkedin&utm_medium=organic&utm_campaign=homepage&utm_content=libio&dxid=07ce880a-c6a8-1752728166,$2.09,Extended Pre-Series A,Home Decor,Bengaluru,12/07/2025,https://inc42.com/buzz/exclusive-d2c-home-decor-brand-vaaree-closes-pre-series-a-round-at-4-6-mn/
https://cookdtv.com/,$2.00,Pre-Series A,Consumer Food Brand,Chennai,11/07/2025,https://entrackr.com/snippets/cookd-raises-rs-16-cr-in-pre-series-a-round-led-by-spring-marketing-capital-9485216
https://www.gramik.in/,$2.00,,Agritech,Lucknow,11/07/2025,https://inc42.com/buzz/gramik-bags-17-cr-to-expand-its-agritech-play/
https://cleanfanatics.com/,$2.00,Seed,Home Services,Bengaluru,10/07/2025,https://entrackr.com/snippets/clean-fanatics-raises-2-mn-in-seed-round-led-by-inflection-point-ventures-9480496
https://www.greenaero.in/,$1.60,Seed,Deeptech,Delhi,09/07/2025,https://entrackr.com/snippets/green-aero-raises-16-mn-in-seed-round-led-by-pi-ventures-9477236
https://www.wiselife.in/,$0.93,Pre-Series A,Fitness Essentials Brand,Gurugram,07/07/2025,https://entrackr.com/snippets/wiselife-raises-rs-8-cr-led-by-rukam-capital-in-pre-series-a-round-9470240
https://www.linkrunner.io/,$0.58,Pre-Seed,Analytics,Bengaluru,08/07/2025,https://entrackr.com/snippets/linkrunner-raises-pre-seed-round-led-by-titan-capital-9473366
https://qoruz.com/,$0.50,Pre-Series A,Influencer Marketing Platform,Bengaluru,08/07/2025,https://entrackr.com/snippets/qoruz-raises-500k-in-pre-series-a-round-led-by-the-chennai-angels-9472988
https://www.enercomp.in/,$0.23,,Drone,Ahmedabad,09/07/2025,https://entrackr.com/snippets/drone-tech-startup-enercomp-raises-rs-2-cr-in-bridge-round-9477028
https://www.divinehindu.in/,$0.18,Seed,Spiritual Jewellery Brand,Gurugram,07/07/2025,https://entrackr.com/snippets/spiritual-lifestyle-brand-divine-hindu-raises-seed-round-9470543
